abarth-124,abarth,124
abarth-500,abarth,500
abarth-595,abarth,595
abarth-695,abarth,695
abarth-punto,abarth,PUNTO
abarth-spider,abarth,SPIDER
aixam-crossline,aixam,CROSSLINE
aixam-crossover,aixam,CROSSOVER
alfa-romeo-147,alfa-romeo,147
alfa-romeo-156,alfa-romeo,156
alfa-romeo-159,alfa-romeo,159
alfa-romeo-166,alfa-romeo,166
alfa-romeo-4c,alfa-romeo,4C
alfa-romeo-brera,alfa-romeo,BRERA
alfa-romeo-giulia,alfa-romeo,GIULIA
alfa-romeo-giulietta,alfa-romeo,GIULIETTA
alfa-romeo-giullia,alfa-romeo,GIULLIA
alfa-romeo-gt,alfa-romeo,GT
alfa-romeo-gtv,alfa-romeo,GTV
alfa-romeo-junior,alfa-romeo,JUNIOR
alfa-romeo-mito,alfa-romeo,MITO
alfa-romeo-spider,alfa-romeo,SPIDER
alfa-romeo-stelvio,alfa-romeo,STELVIO
alpine-a110,alpine,A110
aston-martin-cygnet,aston-martin,CYGNET
aston-martin-db11,aston-martin,DB11
aston-martin-db5,aston-martin,DB5
aston-martin-db6,aston-martin,DB6
aston-martin-db7,aston-martin,DB7
aston-martin-db9,aston-martin,DB9
aston-martin-db9o,aston-martin,DB9O
aston-martin-dbs,aston-martin,DBS
aston-martin-dbx,aston-martin,DBX
aston-martin-rapide,aston-martin,RAPIDE
aston-martin-v12-vanquish,aston-martin,V12 VANQUISH
aston-martin-v8,aston-martin,V8
aston-martin-vanquish,aston-martin,VANQUISH
aston-martin-vanquish-v12,aston-martin,VANQUISH V12
aston-martin-vantage,aston-martin,VANTAGE
aston-martin-virage,aston-martin,VIRAGE
aston-martin-volante,aston-martin,VOLANTE
audi-100,audi,100
audi-80,audi,80
audi-90,audi,90
audi-a1,audi,A1
audi-a2,audi,A2
audi-a3,audi,A3
audi-a4,audi,A4
audi-a5,audi,A5
audi-a6,audi,A6
audi-a7,audi,A7
audi-a8,audi,A8
audi-allroad,audi,ALLROAD
audi-cabriolet,audi,CABRIOLET
audi-coupe,audi,COUPE
audi-e-tron,audi,E-TRON
audi-q2,audi,Q2
audi-q3,audi,Q3
audi-q5,audi,Q5
audi-q7,audi,Q7
audi-q8,audi,Q8
audi-quattro,audi,QUATTRO
audi-r8,audi,R8
audi-rio,audi,RIO
audi-rs3,audi,RS3
audi-rs4,audi,RS4
audi-rs5,audi,RS5
audi-rs6,audi,RS6
audi-rs7,audi,RS7
audi-rsq3,audi,RSQ3
audi-rsq8,audi,RSQ8
audi-s1,audi,S1
audi-s3,audi,S3
audi-s4,audi,S4
audi-s5,audi,S5
audi-s6,audi,S6
audi-s7,audi,S7
audi-s8,audi,S8
audi-sq2,audi,SQ2
audi-sq5,audi,SQ5
audi-sq7,audi,SQ7
audi-sq8,audi,SQ8
audi-tt,audi,TT
audi-ttrs,audi,TTRS
audi-tts,audi,TTS
austin-1100,austin,1100
austin-1300,austin,1300
austin-1800,austin,1800
austin-a30,austin,A30
austin-a35,austin,A35
austin-a40,austin,A40
austin-a50,austin,A50
austin-a55,austin,A55
austin-a60,austin,A60
austin-allegro,austin,ALLEGRO
austin-healey,austin,HEALEY
austin-maxi,austin,MAXI
austin-metro,austin,METRO
austin-mini,austin,MINI
austin-morris-mini,austin-morris,MINI
austin-seven,austin,SEVEN
austin-sprite,austin,SPRITE
bentley-arnage,bentley,ARNAGE
bentley-azure,bentley,AZURE
bentley-bentayga,bentley,BENTAYGA
bentley-brooklands,bentley,BROOKLANDS
bentley-continental,bentley,CONTINENTAL
bentley-flying-spur,bentley,FLYING SPUR
bentley-mulsanne,bentley,MULSANNE
bentley-turbo,bentley,TURBO
bmw-1-series,bmw,1 SERIES
bmw-2-series,bmw,2 SERIES
bmw-2002,bmw,2002
bmw-3-0-cs,bmw,3.0 CS
bmw-3-series,bmw,3 SERIES
bmw-4-series,bmw,4 SERIES
bmw-5-series,bmw,5 SERIES
bmw-6-series,bmw,6 SERIES
bmw-7-series,bmw,7 SERIES
bmw-8-series,bmw,8 SERIES
bmw-alpina,bmw,ALPINA
bmw-ci,bmw,CI
bmw-i3,bmw,I3
bmw-i8,bmw,I8
bmw-m-coupe,bmw,M COUPE
bmw-m-roadster,bmw,M ROADSTER
bmw-m1,bmw,M1
bmw-m2,bmw,M2
bmw-m3,bmw,M3
bmw-m4,bmw,M4
bmw-m5,bmw,M5
bmw-m6,bmw,M6
bmw-m7-series,bmw,M7 SERIES
bmw-m8,bmw,M8
bmw-x1,bmw,X1
bmw-x2,bmw,X2
bmw-x3,bmw,X3
bmw-x4,bmw,X4
bmw-x5,bmw,X5
bmw-x6,bmw,X6
bmw-x7,bmw,X7
bmw-z3,bmw,Z3
bmw-z4,bmw,Z4
buick-riviera,buick,RIVIERA
cadillac-bls,cadillac,BLS
cadillac-cts,cadillac,CTS
chevrolet-aveo,chevrolet,AVEO
chevrolet-camaro,chevrolet,CAMARO
chevrolet-captiva,chevrolet,CAPTIVA
chevrolet-corvette,chevrolet,CORVETTE
chevrolet-cruze,chevrolet,CRUZE
chevrolet-epica,chevrolet,EPICA
chevrolet-gmc-belair,chevrolet-gmc,BELAIR
chevrolet-gmc-camaro,chevrolet-gmc,CAMARO
chevrolet-gmc-corvette,chevrolet-gmc,CORVETTE
chevrolet-gmc-impala,chevrolet-gmc,IMPALA
chevrolet-kalos,chevrolet,KALOS
chevrolet-lacetti,chevrolet,LACETTI
chevrolet-matiz,chevrolet,MATIZ
chevrolet-orlando,chevrolet,ORLANDO
chevrolet-spark,chevrolet,SPARK
chevrolet-tacuma,chevrolet,TACUMA
chevrolet-trax,chevrolet,TRAX
chevrolet-volt,chevrolet,VOLT
chrysler-300,chrysler,300
chrysler-300c,chrysler,300C
chrysler-crossfire,chrysler,CROSSFIRE
chrysler-delta,chrysler,DELTA
chrysler-grand-voyager,chrysler,GRAND VOYAGER
chrysler-neon,chrysler,NEON
chrysler-pt-cruiser,chrysler,PT CRUISER
chrysler-sebring,chrysler,SEBRING
chrysler-voyager,chrysler,VOYAGER
chrysler-ypsilon,chrysler,YPSILON
citroen-2cv,citroen,2CV
citroen-ami,citroen,AMI
citroen-ax,citroen,AX
citroen-berlingo,citroen,BERLINGO
citroen-bx,citroen,BX
citroen-c-crosser,citroen,C-CROSSER
citroen-c-zero,citroen,C-ZERO
citroen-c1,citroen,C1
citroen-c2,citroen,C2
citroen-c3,citroen,C3
citroen-c4,citroen,C4
citroen-c5,citroen,C5
citroen-c6,citroen,C6
citroen-c8,citroen,C8
citroen-cx,citroen,CX
citroen-dispatch,citroen,DISPATCH
citroen-ds21,citroen,DS21
citroen-ds23,citroen,DS23
citroen-ds3,citroen,DS3
citroen-ds4,citroen,DS4
citroen-ds5,citroen,DS5
citroen-dyane,citroen,DYANE
citroen-nemo,citroen,NEMO
citroen-pluriel,citroen,PLURIEL
citroen-relay,citroen,RELAY
citroen-saxo,citroen,SAXO
citroen-spacetourer,citroen,SPACETOURER
citroen-synergie,citroen,SYNERGIE
citroen-xantia,citroen,XANTIA
citroen-xm,citroen,XM
citroen-xsara,citroen,XSARA
citroen-zx,citroen,ZX
coleman-milne-norwood,coleman-milne,NORWOOD
coleman-milne-rosedale,coleman-milne,ROSEDALE
cupra-formentor,cupra,FORMENTOR
dacia-duster,dacia,DUSTER
dacia-logan,dacia,LOGAN
dacia-sandero,dacia,SANDERO
daewoo-kalos,daewoo,KALOS
daewoo-lacetti,daewoo,LACETTI
daewoo-lanos,daewoo,LANOS
daewoo-matiz,daewoo,MATIZ
daewoo-musso,daewoo,MUSSO
daewoo-nubira,daewoo,NUBIRA
daewoo-tacuma,daewoo,TACUMA
daihatsu-charade,daihatsu,CHARADE
daihatsu-copen,daihatsu,COPEN
daihatsu-cuore,daihatsu,CUORE
daihatsu-fourtrak,daihatsu,FOURTRAK
daihatsu-grand-move,daihatsu,GRAND MOVE
daihatsu-materia,daihatsu,MATERIA
daihatsu-sirion,daihatsu,SIRION
daihatsu-sportrak,daihatsu,SPORTRAK
daihatsu-terios,daihatsu,TERIOS
daihatsu-yrv,daihatsu,YRV
daimler-4-0,daimler,4.0
daimler-4-2,daimler,4.2
daimler-conquest,daimler,CONQUEST
daimler-double-six,daimler,DOUBLE SIX
daimler-limousine,daimler,LIMOUSINE
daimler-six,daimler,SIX
daimler-sovereign,daimler,SOVEREIGN
daimler-sp-250,daimler,SP 250
daimler-v8,daimler,V8
datsun-240,datsun,240
datsun-260,datsun,260
dmc-delorean,dmc,DELOREAN
dodge-avenger,dodge,AVENGER
dodge-caliber,dodge,CALIBER
dodge-journey,dodge,JOURNEY
dodge-nitro,dodge,NITRO
ds-ds3,ds,DS3
ds-ds4,ds,DS4
ds-ds5,ds,DS5
ds-ds7,ds,DS7
ds3-parthenon,ds,DS3 PARTHENON
ferrari-360,ferrari,360
ferrari-458,ferrari,458
ferrari-488,ferrari,488
ferrari-599,ferrari,599
ferrari-612,ferrari,612
ferrari-812,ferrari,812
ferrari-california,ferrari,CALIFORNIA
ferrari-f12,ferrari,F12
ferrari-f430,ferrari,F430
ferrari-f8,ferrari,F8
ferrari-ff,ferrari,FF
ferrari-gtc4,ferrari,GTC4
ferrari-portofino,ferrari,PORTOFINO
fiat-124,fiat,124
fiat-126,fiat,126
fiat-500,fiat,500
fiat-500l,fiat,500L
fiat-500x,fiat,500X
fiat-600,fiat,600
fiat-850,fiat,850
fiat-barchetta,fiat,BARCHETTA
fiat-brava,fiat,BRAVA
fiat-bravo,fiat,BRAVO
fiat-cinquecento,fiat,CINQUECENTO
fiat-coupe,fiat,COUPE
fiat-croma,fiat,CROMA
fiat-doblo,fiat,DOBLO
fiat-ducato,fiat,DUCATO
fiat-fiorino,fiat,FIORINO
fiat-idea,fiat,IDEA
fiat-multipla,fiat,MULTIPLA
fiat-panda,fiat,PANDA
fiat-punto,fiat,PUNTO
fiat-qubo,fiat,QUBO
fiat-scudo,fiat,SCUDO
fiat-sedici,fiat,SEDICI
fiat-seicento,fiat,SEICENTO
fiat-stilo,fiat,STILO
fiat-talento,fiat,TALENTO
fiat-tipo,fiat,TIPO
fiat-ulysse,fiat,ULYSSE
fiat-uno,fiat,UNO
fiat-x1-9,fiat,X1/9
ford-allied,ford,ALLIED
ford-anglia,ford,ANGLIA
ford-b-max,ford,B-MAX
ford-c-max,ford,C-MAX
ford-capri,ford,CAPRI
ford-cardinal-hearse,ford,CARDINAL HEARSE
ford-classic,ford,CLASSIC
ford-consul,ford,CONSUL
ford-corsair,ford,CORSAIR
ford-cortina,ford,CORTINA
ford-cougar,ford,COUGAR
ford-dorchester,ford,DORCHESTER
ford-ecosport,ford,ECOSPORT
ford-edge,ford,EDGE
ford-escort,ford,ESCORT
ford-explorer,ford,EXPLORER
ford-fiesa,ford,FIESA
ford-fiesta,ford,FIESTA
ford-focus,ford,FOCUS
ford-freedom,ford,FREEDOM
ford-fusion,ford,FUSION
ford-galaxy,ford,GALAXY
ford-granada,ford,GRANADA
ford-grand-c-max,ford,GRAND C-MAX
ford-independence,ford,INDEPENDENCE
ford-journey,ford,JOURNEY
ford-ka,ford,KA
ford-ka-,ford,KA+
ford-kuga,ford,KUGA
ford-maverick,ford,MAVERICK
ford-mondeo,ford,MONDEO
ford-mondeo-titanium,ford,MONDEO TITANIUM
ford-mustang,ford,MUSTANG
ford-orion,ford,ORION
ford-popular,ford,POPULAR
ford-prefect,ford,PREFECT
ford-probe,ford,PROBE
ford-puma,ford,PUMA
ford-s-max,ford,S-MAX
ford-scorpio,ford,SCORPIO
ford-sierra,ford,SIERRA
ford-streetka,ford,STREETKA
ford-thunderbird,ford,THUNDERBIRD
ford-tourneo,ford,TOURNEO
ford-transit,ford,TRANSIT
ford-transit-connect,ford,TRANSIT CONNECT
ford-transit-courier,ford,TRANSIT COURIER
ford-transit-custom,ford,TRANSIT CUSTOM
ford-zephyr,ford,ZEPHYR
ford-zodiac,ford,ZODIAC
hillman-avenger,hillman,AVENGER
hillman-hunter,hillman,HUNTER
hillman-husky,hillman,HUSKY
hillman-imp,hillman,IMP
hillman-minx,hillman,MINX
honda-accord,honda,ACCORD
honda-civic,honda,CIVIC
honda-concerto,honda,CONCERTO
honda-cr-v,honda,CR-V
honda-cr-z,honda,CR-Z
honda-crf450x,honda,CRF450X
honda-crv,honda,CRV
honda-crx,honda,CRX
honda-e,honda,E
honda-fr-v,honda,FR-V
honda-hr-v,honda,HR-V
honda-insight,honda,INSIGHT
honda-integra,honda,INTEGRA
honda-jazz,honda,JAZZ
honda-legend,honda,LEGEND
honda-logo,honda,LOGO
honda-nsx,honda,NSX
honda-odyssey,honda,ODYSSEY
honda-prelude,honda,PRELUDE
honda-s2000,honda,S2000
honda-shuttle,honda,SHUTTLE
honda-stepwagon,honda,STEPWAGON
honda-stream,honda,STREAM
humber-hawk,humber,HAWK
humber-sceptre,humber,SCEPTRE
humber-snipe,humber,SNIPE
hyundai-accent,hyundai,ACCENT
hyundai-amica,hyundai,AMICA
hyundai-atoz,hyundai,ATOZ
hyundai-coupe,hyundai,COUPE
hyundai-elantra,hyundai,ELANTRA
hyundai-getz,hyundai,GETZ
hyundai-i10,hyundai,I10
hyundai-i20,hyundai,I20
hyundai-i30,hyundai,I30
hyundai-i40,hyundai,I40
hyundai-i800,hyundai,I800
hyundai-ioniq,hyundai,IONIQ
hyundai-ix20,hyundai,IX20
hyundai-ix35,hyundai,IX35
hyundai-kona,hyundai,KONA
hyundai-lantra,hyundai,LANTRA
hyundai-matrix,hyundai,MATRIX
hyundai-santa-fe,hyundai,SANTA FE
hyundai-sonata,hyundai,SONATA
hyundai-terracan,hyundai,TERRACAN
hyundai-trajet,hyundai,TRAJET
hyundai-tucson,hyundai,TUCSON
hyundai-veloster,hyundai,VELOSTER
infiniti-ex30,infiniti,EX30
infiniti-fx30,infiniti,FX30
infiniti-fx50,infiniti,FX50
infiniti-g37,infiniti,G37
infiniti-m35h,infiniti,M35H
infiniti-q30,infiniti,Q30
infiniti-q50,infiniti,Q50
infiniti-q60,infiniti,Q60
infiniti-q70,infiniti,Q70
infiniti-qx30,infiniti,QX30
infiniti-qx70,infiniti,QX70
isuzu-trooper,isuzu,TROOPER
iveco-daily,iveco,DAILY
jaguar-240,jaguar,240
jaguar-3-8,jaguar,3.8
jaguar-340,jaguar,340
jaguar-420,jaguar,420
jaguar-e-pace,jaguar,E-PACE
jaguar-e-type,jaguar,E TYPE
jaguar-eagle,jaguar,EAGLE
jaguar-f-pace,jaguar,F-PACE
jaguar-f-type,jaguar,F-TYPE
jaguar-i-pace,jaguar,I-PACE
jaguar-mk-ii,jaguar,MK II
jaguar-mk-ix,jaguar,MK IX
jaguar-mk-vii,jaguar,MK VII
jaguar-s-type,jaguar,S TYPE
jaguar-sovereign,jaguar,SOVEREIGN
jaguar-x-type,jaguar,X TYPE
