AA07AMM,nissan-note,Turquoise,2007
AAC792H,hyundai-i10,Silver,1975
AAY452D,volkswagen-up,Purple,1979
AB01MFL,peugeot-bipper,Turquoise,2001
AB14GMD,jaguar-xf-series,Orange,2014
AB15UVT,vauxhall-viva,Grey,2015
AB19NWG,kia-sportage,Gold,2019
ABV496J,volvo-v40,Gold,1973
ABW940K,land-rover-range-rover,Red,1972
ABX857D,citroen-c4,Gold,1979
ABY761G,abarth-595,Gold,1976
AC03BXC,honda-jazz,Silver,2003
AC04VYH,mini-one,Black,2004
AC08RRN,peugeot-2008,Grey,2008
AC15VJX,vauxhall-astra,Blue,2015
ACD586D,peugeot-107,Black,1979
ACF678C,vauxhall-crossland,Green,1980
ACH210B,bmw-5-series,Grey,1981
ACK119D,ford-fiesta,Yellow,1979
ACR989D,ford-fiesta,Silver,1979
AD03RAM,vauxhall-corsa,Gold,2003
AD04RLG,volkswagen-tiguan,Gold,2004
AD05GDL,ford-fiesta,Red,2005
AD07VYV,kia-ceed,Purple,2007
AD09KHC,land-rover-discovery,Yellow,2009
AD16LVH,ford-fiesta,Purple,2016
ADN691F,volkswagen-golf,White,1977
ADV666G,land-rover-range-rover,Green,1976
ADY998J,suzuki-vitara,Grey,1973
AE03CHR,hyundai-i10,Yellow,2003
AE03MUU,ford-fiesta,Yellow,2003
AE09JVF,peugeot-206,Purple,2009
AE10BUA,ford-focus,Yellow,2010
AE11BUC,bmw-3-series,Red,2011
AEW457H,renault-kadjar,Turquoise,1975
AF02NCK,seat-leon,Yellow,2002
AF04DFE,audi-a1,Yellow,2004
AF06JXP,vauxhall-zafira,Black,2006
AF07YEG,kia-picanto,Purple,2007
AFA959K,ford-mondeo,Orange,1972
AFH963K,volkswagen-golf,Grey,1972
AFT613E,hyundai-ix35,Green,1978
AG14UTF,nissan-note,Blue,2014
AG19FVU,bmw-1-series,Grey,2019
AG20TLU,nissan-micra,Purple,2020
AGN305F,volkswagen-touran,Turquoise,1977
AGT954E,lexus-rx400,Turquoise,1978
AH03FKF,mercedes-c-class,Gold,2003
AH15DBL,mercedes-ml-class,Silver,2015
AH15DUW,honda-jazz,White,2015
AH15RHW,volkswagen-up,Red,2015
AHD553L,audi-a4,Purple,1971
AHE235J,mini-cooper,Red,1973
AHK975D,seat-ibiza,Green,1979
AHT217D,peugeot-208,Turquoise,1979
AJ09YUF,seat-arona,Black,2009
AJ15FTE,volkswagen-polo,Gold,2015
AJ16XNK,nissan-qashqai,Silver,2016
AJL714L,chevrolet-matiz,White,1971
AK09HGH,audi-q5,Gold,2009
AK16CRM,kia-sportage,Red,2016
AL02WWW,audi-a1,Purple,2002
AL06KYP,mercedes-c-class,White,2006
AL09KKY,land-rover-freelander,Green,2009
AL14BMN,vauxhall-astra,Green,2014
AL14UCN,alfa-romeo-mito,Yellow,2014
AL18LFE,volkswagen-passat,Turquoise,2018
AL19PBU,bmw-x5,Yellow,2019
ALB243L,audi-q5,Orange,1971
AM04THR,ford-focus,White,2004
AM05EAN,ford-fiesta,Red,2005
AM06JVC,volkswagen-passat,Blue,2006
AM09VFK,ford-focus,White,2009
AM10VGW,land-rover-range-rover,Yellow,2010
AM17WKW,ford-ka,Black,2017
AMN110E,renault-clio,Grey,1978
AMU913B,citroen-xsara,Silver,1981
AN01TLK,hyundai-i20,Yellow,2001
AN02EGH,bmw-3-series,Blue,2002
AN05KTR,chevrolet-aveo,Yellow,2005
AN11PMT,peugeot-206,Gold,2011
AN17MBB,mitsubishi-colt,White,2017
AN19EMP,mercedes-c-class,White,2019
AP04ADC,toyota-aygo,Green,2004
AP05APE,suzuki-swift,Orange,2005
AP08GAJ,vauxhall-agila,Gold,2008
AP14AUU,volkswagen-passat,Gold,2014
AP18HDD,honda-civic,Yellow,2018
AP20FYV,ford-focus,Yellow,2020
APR154E,peugeot-3008,White,1978
AR05BGB,honda-jazz,Orange,2005
AR09BDK,audi-q5,Blue,2009
AR12FUU,ford-focus,Gold,2012
AR16YXV,mini-one,Gold,2016
AR20DKT,mini-one,Yellow,2020
ARU320G,ford-mondeo,Red,1976
ARW101K,ford-fiesta,Yellow,1972
AT01FFW,volvo-v50,Grey,2001
AT06GMR,nissan-note,Silver,2006
AT10KJH,vauxhall-zafira,Turquoise,2010
AT18MGF,volkswagen-golf,White,2018
ATL550G,vauxhall-zafira,Silver,1976
ATM690J,ds-ds3,Silver,1973
AU06XKN,ford-kuga,Turquoise,2006
AU11UPH,ford-fiesta,White,2011
AU11YCY,bmw-3-series,Black,2011
AU17VBF,volkswagen-fox,Purple,2017
AU20HRB,honda-accord,Gold,2020
AUE648C,citroen-c3,Grey,1980
AUK287G,toyota-rav4,Blue,1976
AUM441B,honda-crv,Yellow,1981
AUT153F,ford-fiesta,Silver,1977
AV04CEH,volkswagen-golf,Silver,2004
AV08JVM,ford-focus,Silver,2008
AV17HUW,renault-clio,Silver,2017
AVB643F,audi-a3,Orange,1977
AVR375D,abarth-595,Black,1979
AW01TBT,mini-cooper,Orange,2001
AW05UJU,bmw-3-series,Yellow,2005
AX01URJ,toyota-rav4,White,2001
AX15JCH,mercedes-c-class,Green,2015
AX15XBH,subaru-impreza,Blue,2015
AX20MYC,ford-fiesta,Red,2020
AXL581F,toyota-prius,Blue,1977
AXP218L,ford-fiesta,Silver,1971
AXX361H,toyota-yaris,Purple,1975
AY02WCE,ford-focus,Yellow,2002
AY13DME,ford-focus,Yellow,2013
AY17GPV,nissan-qashqai,Yellow,2017
AY18RGH,mercedes-c-class,Grey,2018
AY19WUC,vauxhall-corsa,Silver,2019
AY20NUF,seat-ibiza,Blue,2020
AYF327L,bmw-1-series,Orange,1971
AYL683F,mitsubishi-outlander,Red,1977
AYW464B,toyota-auris,Yellow,1981
B101MND,citroen-c4,Turquoise,2000
B106YKY,porsche-cayenne,Green,2000
B132LMJ,bmw-1-series,Purple,2000
B137AGY,vauxhall-corsa,Black,2000
B138BEF,ford-ecosport,Gold,2000
B156KGC,toyota-rav4,Turquoise,2000
B163VNE,triumph-stag,Grey,2000
B194EBF,mercedes-a-class,Silver,2000
B201DNF,ford-focus,Orange,2000
B207PRX,kia-stonic,Yellow,2000
B214UHX,jaguar-xf-series,White,2000
B216EUK,honda-jazz,Orange,2000
B220YBM,vauxhall-insignia,Yellow,2000
B259CUG,volkswagen-golf,Yellow,2000
B268PWG,dodge-nitro,Green,2000
B285FNH,volkswagen-golf,Black,2000
B288XFT,toyota-iq,Gold,2000
